,encounter_name,event_timestamp,event_type,category,source_name,source_is_human,dest_name,dest_is_human,spell_name,amount,raw_amount,combat_event,special,overkill,rowID
0,Attumen the Huntsman,2021-11-17 23:19:39.652,SWING_DAMAGE,Damage,Midnight,0,Laverys,1,Auto Attack,4071,4071,Normal,0,1,1
1,Attumen the Huntsman,2021-11-17 23:19:39.652,SPELL_DAMAGE,Damage,Laverys,1,Midnight,0,Exorcism,876,876,Normal,1,1,2
2,Attumen the Huntsman,2021-11-17 23:19:39.670,SWING_DAMAGE,Damage,Lollitta,1,Midnight,0,Auto Attack,305,305,Normal,0,1,3
3,Attumen the Huntsman,2021-11-17 23:19:39.670,SWING_DAMAGE,Damage,Lollitta,1,Midnight,0,Auto Attack,372,372,Normal,0,1,4
4,Attumen the Huntsman,2021-11-17 23:19:40.135,SWING_DAMAGE,Damage,Maulgrab,1,Midnight,0,Auto Attack,261,261,Glancing Blow,0,1,5
5,Attumen the Huntsman,2021-11-17 23:19:40.582,SPELL_DAMAGE,Damage,Lollitta,1,Midnight,0,Devastate,160,160,Normal,1,1,6
6,Attumen the Huntsman,2021-11-17 23:19:41.647,SWING_DAMAGE,Damage,Midnight,0,Laverys,1,Auto Attack,3750,3750,Normal,0,1,7
7,Attumen the Huntsman,2021-11-17 23:19:42.062,SPELL_DAMAGE,Damage,Lollitta,1,Midnight,0,Shield Slam,464,464,Normal,1,1,8
8,Attumen the Huntsman,2021-11-17 23:19:42.080,SPELL_DAMAGE,Damage,Mongollan,1,Midnight,0,Arcane Blast,1826,1826,Normal,1,1,9
9,Attumen the Huntsman,2021-11-17 23:19:42.362,SWING_DAMAGE,Damage,Lollitta,1,Midnight,0,Auto Attack,292,292,Block,0,1,10
10,Attumen the Huntsman,2021-11-17 23:19:42.522,SWING_DAMAGE,Damage,Maulgrab,1,Midnight,0,Auto Attack,329,329,Critical Strike,0,1,11
11,Attumen the Huntsman,2021-11-17 23:19:42.653,SWING_MISSED,Damage,Laverys,1,Midnight,0,Auto Attack,0,0,Dodge,0,0,12
12,Attumen the Huntsman,2021-11-17 23:19:42.759,SWING_MISSED,Damage,Maulgrab,1,Midnight,0,Auto Attack,0,0,Miss,0,0,13
13,Attumen the Huntsman,2021-11-17 23:19:43.332,SPELL_DAMAGE,Damage,Mtbalrog,1,Midnight,0,Immolate,602,602,Normal,1,1,14
14,Attumen the Huntsman,2021-11-17 23:19:43.567,SPELL_DAMAGE,Damage,Lollitta,1,Midnight,0,Devastate,234,234,Normal,1,1,15
15,Attumen the Huntsman,2021-11-17 23:19:43.646,SWING_DAMAGE,Damage,Midnight,0,Lollitta,1,Auto Attack,3278,3278,Normal,0,1,16
16,Attumen the Huntsman,2021-11-17 23:19:43.976,SWING_DAMAGE,Damage,Maulgrab,1,Midnight,0,Auto Attack,341,341,Critical Strike,0,1,17
17,Attumen the Huntsman,2021-11-17 23:19:44.060,SPELL_PERIODIC_DAMAGE,Damage,Trashcane,1,Midnight,0,Vampiric Touch,426,426,Normal,1,1,18
18,Attumen the Huntsman,2021-11-17 23:19:44.060,SPELL_PERIODIC_DAMAGE,Damage,Trashcane,1,Midnight,0,Shadow Word: Pain,523,523,Normal,1,1,19
19,Attumen the Huntsman,2021-11-17 23:19:44.242,SPELL_DAMAGE,Damage,Mongollan,1,Midnight,0,Arcane Blast,1769,1769,Normal,1,1,20
20,Attumen the Huntsman,2021-11-17 23:19:44.918,SWING_MISSED,Damage,Maulgrab,1,Midnight,0,Auto Attack,0,0,Miss,0,0,21
21,Attumen the Huntsman,2021-11-17 23:19:45.073,SPELL_MISSED,Damage,Lollitta,1,Midnight,0,Heroic Strike,0,0,Dodge,1,0,22
22,Attumen the Huntsman,2021-11-17 23:19:45.182,SPELL_DAMAGE,Damage,Lollitta,1,Midnight,0,Devastate,261,261,Normal,1,1,23
23,Attumen the Huntsman,2021-11-17 23:19:45.342,SWING_DAMAGE,Damage,Laverys,1,Midnight,0,Auto Attack,217,217,Normal,0,1,24
24,Attumen the Huntsman,2021-11-17 23:19:45.431,SWING_DAMAGE,Damage,Maulgrab,1,Midnight,0,Auto Attack,186,186,Normal,0,1,25
25,Attumen the Huntsman,2021-11-17 23:19:45.656,SWING_MISSED,Damage,Midnight,0,Lollitta,1,Auto Attack,0,0,Parry,0,0,26
26,Attumen the Huntsman,2021-11-17 23:19:46.084,SPELL_DAMAGE,Damage,Mongollan,1,Midnight,0,Arcane Blast,1400,1400,Normal,1,1,27
27,Attumen the Huntsman,2021-11-17 23:19:46.341,SPELL_PERIODIC_DAMAGE,Damage,Mtbalrog,1,Midnight,0,Immolate,308,308,Normal,1,1,28
28,Attumen the Huntsman,2021-11-17 23:19:46.445,SPELL_DAMAGE,Damage,Epicz,1,Midnight,0,Scorch,1000,1000,Normal,1,1,29
29,Attumen the Huntsman,2021-11-17 23:19:46.687,SPELL_DAMAGE,Damage,Lollitta,1,Midnight,0,Revenge,321,321,Normal,1,1,30
30,Attumen the Huntsman,2021-11-17 23:19:46.698,SWING_DAMAGE,Damage,Lollitta,1,Midnight,0,Auto Attack,408,408,Normal,0,1,31
31,Attumen the Huntsman,2021-11-17 23:19:46.698,SWING_DAMAGE,Damage,Lollitta,1,Midnight,0,Auto Attack,384,384,Normal,0,1,32
32,Attumen the Huntsman,2021-11-17 23:19:46.857,SWING_DAMAGE,Damage,Maulgrab,1,Midnight,0,Auto Attack,135,135,Glancing Blow,0,1,33
